No.,Position X,Position Y,Position Z
1, 0.5818233, 1.34573, 0.5997581
2, 0.9751734, 2.602097, 0.9558973
3, -1.209802, 3.295823, 0.4400997
4, 1.805795, 1.349311, 0.7816334
5, -1.019099, 2.719821, 0.9925613
6, -1.435315, 1.56899, -0.09247589
7, 0.2128031, 1.280136, 0.5402679
8, 1.731772, 0.7120905, 0.3464203
9, 1.646398, 1.409671, 0.423625
10, -0.9933307, 0.6494846, 0.3306541
11, 1.902709, 2.636086, -0.4219894
12, -1.195071, 0.2710538, -0.8594179
13, 1.836901, 0.03998899, 0.8556328
14, -1.243306, 3.720574, 0.2785568
15, -1.715952, 3.724337, 0.8146219
16, -1.370255, 3.789368, -0.7064896
17, -1.218637, 3.907349, 0.7374325
18, 1.349357, 0.6185994, -0.3731852
19, -0.2201965, 1.06988, 0.2833605
20, 1.739155, 3.215224, 0.6131687
21, 0.9681301, 1.113823, 0.6914148
22, -1.833076, 2.0914, 0.3384562
23, 1.032168, 1.543785, -0.8227329
24, -0.8603141, 1.674076, -0.7430916
25, -0.3684504, 3.711304, -0.1747541
26, 0.1455786, 3.84784, -0.9996815
27, 0.5268907, 2.760167, 0.9616346
28, 0.3431833, 0.07257462, 0.8517809
29, -1.16302, 3.170436, -0.4392986
30, -1.714468, 1.996731, -0.9701567
31, -0.7490466, 1.538676, 0.7807045
32, 1.37449, 3.500439, 0.6846046
33, -0.04591966, 0.8675814, -0.1647825
34, -1.662603, 3.386497, -0.2054529
35, 0.4253414, 2.941752, 0.3599377
36, -1.269687, 0.6359315, -0.3342514
37, -1.020143, 3.255519, -0.7369537
38, 0.2145236, 1.36602, -0.4805164
39, 1.617271, 1.069463, -0.8660965
40, -0.07045436, 2.937219, 0.2964764
41, 0.6891889, 2.852944, -0.1012554
42, 1.495727, 1.932825, 0.9144478
43, 1.290922, 0.9519129, 0.686389
44, 0.8390812, 1.493649, -0.4676399
45, -0.5889881, 2.12476, -0.9292765
46, 0.4319298, 2.543284, 0.6165104
47, 0.9726977, 1.79095, -0.3463535
48, -1.708229, 3.96975, -0.5593834
49, 1.492166, 2.120818, 0.7561712
50, 0.04163051, 0.3099289, -0.8445244
51, 1.485477, 0.1539502, 0.0670023
52, 1.229824, 3.915243, 0.8126984
53, -1.939684, 3.145401, 0.7195473
54, -1.26281, 1.089657, 0.09583378
55, -1.306599, 1.749465, -0.8941393
56, -0.508116, 0.6171994, 0.2522402
57, -0.8703249, 0.6193128, -0.00256443
58, 0.08160949, 1.932372, -0.8788834
59, 1.341496, 2.59381, 0.2067862
60, -0.2945125, 2.834286, -0.2403774
61, 1.187092, 1.406657, -0.8146763
62, 0.5671152, 1.826248, 0.100605
63, -0.09369302, 0.7557201, 0.3201313
64, 0.2728555, 3.240797, 0.6269426
65, -0.8738344, 3.871426, -0.5035477
66, -0.413955, 3.556903, -0.907196
67, -0.700114, 2.605836, 0.2406397
68, -1.714949, 2.912507, -0.1476955
69, 1.500486, 2.27544, 0.4707994
70, -0.8176711, 3.451619, -0.7632494
71, -1.440673, 1.207158, -0.6887178
72, 0.4130685, 1.528524, 0.1198883
73, -1.955719, 2.746271, -0.03574848
74, 1.39824, 2.394105, 0.8540134
75, 0.8423843, 0.8383884, -0.5637846
76, -0.4108179, 0.5525846, -0.3291464
77, 0.2478287, 2.749172, -0.9684296
78, -0.1365273, 1.432576, 0.5782852
79, -1.804771, 2.959968, -0.2078123
80, -0.5093067, 3.437274, 0.6040792
81, 0.1272538, 3.75224, 0.09004784
82, -1.859037, 1.062145, 0.3243294
83, 0.8469509, 3.926744, 0.4014034
84, 0.7614116, 1.234423, -0.727149
85, 1.664833, 1.372357, 0.655386
86, 1.444131, 0.6357436, 0.1257277
87, 1.894686, 3.276117, -0.5801411
88, 1.381096, 0.4142604, -0.1426754
89, -1.463958, 3.451976, 0.7479658
90, -1.674171, 3.654939, -0.5405474
91, -0.1880667, 3.295242, -0.4091597
92, 1.260364, 3.875248, 0.02230358
93, 0.5500602, 1.273325, -0.3832102
94, 0.1682246, 1.88331, 0.6743793
95, -1.069561, 0.3349643, 0.5840511
96, -1.708418, 2.232454, -0.6454563
97, 1.407884, 3.811297, -0.6269722
98, -0.1964409, 2.333461, 0.6351299
99, -0.4222324, 2.024367, 0.1137323
100, 1.327598, 1.901281, -0.4283218
