No.,Position X,Position Y,Position Z
1, -1.86926, 0.02483606, 0.9282794
2, -1.504777, 1.379815, -0.9594598
3, 1.554343, 3.119732, 0.748987
4, -0.2641132, 3.070665, -0.4686342
5, 0.2920225, 1.816078, -0.8249781
6, 1.162929, 0.346642, -0.9965942
7, -1.954438, 3.647455, 0.7503982
8, 1.952278, 3.82186, -0.65345
9, 1.089622, 1.247834, 0.09795201
10, -1.841937, 1.850928, -0.608566
11, 1.936994, 1.336497, -0.0001353025
12, 0.5803666, 2.376066, 0.5385697
13, 0.08033872, 0.1942763, 0.04650867
14, -1.947543, 1.841978, 0.1545793
15, 1.214966, 1.405009, -0.8468947
16, -0.9727209, 2.557065, -0.0919801
17, -1.860393, 0.2075772, -0.9627936
18, -0.7873709, 2.054832, 0.8287098
19, -1.928061, 3.470235, 0.5779877
20, -0.7033722, 3.697097, -0.9987216
21, 1.408119, 2.731389, 0.6137543
22, -0.237479, 2.845205, 0.6765444
23, 0.7852988, 1.900254, -0.02283776
24, 1.463181, 0.8418875, -0.1961273
25, -0.3408101, 3.073701, 0.3088772
26, 1.67839, 2.184312, -0.2885865
27, -0.5777977, 1.73551, 0.4940839
28, 0.794208, 0.08249187, -0.849082
29, -1.168745, 0.1343212, -0.1910175
30, 1.812777, 0.1714888, -0.3259465
31, 1.674841, 0.3102393, -0.2915288
32, 1.198196, 0.1917338, 0.07798159
33, -1.279357, 1.343584, -0.8330262
34, -0.8040397, 0.6787009, -0.5837622
35, -1.609861, 0.1023526, 0.7109439
36, -1.808621, 2.551999, -0.4996332
37, -0.04071259, 0.1692939, 0.4688983
38, 0.2348506, 3.166296, -0.4274651
39, 1.158988, 3.638882, 0.3057444
40, -1.205395, 0.1049113, 0.8128018
41, 0.3841445, 2.173799, 0.9366155
42, 1.832911, 0.5231051, 0.7356377
43, 0.2832019, 0.1197281, 0.2688727
44, -1.670794, 2.39854, 0.09609163
45, -0.5526073, 1.962579, 0.6711876
46, 1.774234, 3.371822, 0.3119571
47, 0.4438322, 1.221265, 0.6565349
48, -0.8193142, 3.430547, -0.5932965
49, 0.01626039, 3.368495, -0.3509022
50, 0.6812567, 1.017017, -0.6352785
51, 1.144943, 3.141122, -0.5814123
52, -1.892522, 2.886401, -0.8270686
53, -0.8673289, 1.999589, 0.1747442
54, -0.9903591, 0.1579781, 0.7139897
55, -1.714597, 1.779017, 0.8729103
56, 0.1883624, 3.018667, 0.5314393
57, 1.449088, 2.241715, -0.05012786
58, 0.8107104, 1.274331, 0.9732132
59, 1.025403, 3.588641, 0.0004354715
60, -1.436461, 0.6840854, 0.5040078
61, -1.21275, 1.858528, -0.46869
62, 1.777577, 0.6400824, 0.9686096
63, -0.8243287, 2.477716, -0.9681721
64, 0.06146264, 3.543519, 0.3079707
65, 0.5983004, 1.348418, -0.7173836
66, -0.3893464, 2.874212, -0.6605842
67, 0.1738994, 0.1478887, 0.5088341
68, 1.220876, 0.1212215, 0.3451752
69, 1.378705, 1.709508, -0.8564937
70, 1.595187, 3.650266, -0.5907731
71, 0.7595982, 0.02536488, 0.2785096
72, -1.411536, 2.051739, 0.7632914
73, -0.6233633, 2.309889, -0.9694586
74, 0.3910835, 0.3612337, 0.6815479
75, 0.1232455, 0.1133752, 0.4233265
76, -1.349747, 2.154829, 0.2411522
77, 0.3655088, 3.046536, 0.2523014
78, 1.083683, 3.81706, -0.2734288
79, 0.5902595, 2.389057, -0.8393703
80, 0.3227313, 0.4481211, -0.2163812
81, 0.275358, 1.931094, -0.8790429
82, -1.816183, 1.477203, 0.387383
83, 1.767813, 1.464508, -0.008100867
84, -1.574041, 0.3945241, 0.2961192
85, -0.3495114, 0.8362503, -0.02061403
86, 0.4346945, 3.530045, -0.3555745
87, 0.2112782, 2.221195, 0.5742548
88, 0.1742208, 1.604584, 0.8890986
89, 0.2967393, 1.641991, 0.7529471
90, 1.996263, 2.879051, 0.5354276
91, 0.7294096, 2.839255, 0.839937
92, 1.463579, 1.716552, -0.6679013
93, 0.4464157, 1.417389, -0.4907507
94, 0.6281413, 2.034324, -0.5438972
95, -1.471304, 2.660376, -0.08827817
96, -1.620134, 0.6910143, 0.7048576
97, -0.8109629, 1.701202, 0.6221488
98, -0.4732678, 2.491974, 0.5627916
99, -0.1896036, 0.4760489, -0.3929852
100, -0.4326603, 3.64508, 0.1731681
