#frame,fps
0,557.9299
1,261.0437
2,198.4474
3,155.0295
4,123.803
5,113.4896
6,105.5538
7,98.57111
8,93.68652
9,89.97713
10,85.62706
11,81.80785
12,78.14979
13,73.22137
14,72.36804
15,69.30988
16,68.35764
17,67.75877
18,67.13904
19,66.13866
20,62.8531
21,62.77774
22,60.46672
23,59.20344
24,57.62148
25,57.51832
26,58.02225
27,58.09758
28,58.63937
29,58.85281
30,59.22365
31,56.92313
32,57.29412
33,57.84638
34,57.95415
35,58.08049
36,58.57325
37,59.10884
38,60.06305
39,60.40963
40,58.38677
41,58.51625
42,58.67693
43,58.64499
44,58.45328
45,58.31678
46,57.9887
47,58.21306
48,58.48861
49,57.04516
50,58.05618
51,57.53384
52,58.55611
53,58.63887
54,59.12667
55,58.0616
56,58.4727
57,58.619
58,56.66555
59,56.41919
60,56.90049
61,56.90148
62,57.2534
63,56.26198
64,56.55951
65,56.68419
66,57.58398
67,54.33071
68,55.04611
69,55.47577
70,56.48735
71,55.97747
72,56.70372
73,56.95664
74,57.96489
75,55.65378
76,48.93736
77,47.54682
78,48.2663
79,48.95685
80,47.79179
81,48.95564
82,50.31966
83,49.35041
84,49.37192
85,50.60919
86,51.44496
87,52.31429
88,52.30716
89,53.16014
90,53.67257
91,54.26265
92,52.23699
93,52.29605
94,52.5036
95,53.49913
96,53.23447
97,54.39779
98,54.51632
99,55.50743
100,54.77973
101,53.61943
102,53.705
103,54.92014
104,54.60247
105,55.40209
106,55.81673
107,56.81261
108,55.98501
109,56.87913
110,54.94065
111,55.29722
112,55.53855
113,56.29949
114,56.19731
115,56.96178
116,57.27808
117,58.18406
118,57.71268
119,55.96315
120,56.22055
121,56.3605
122,56.64333
123,56.89529
124,57.14307
125,57.3983
126,57.53363
127,57.65206
128,55.88106
129,55.84693
130,56.27846
131,56.21376
132,56.35456
133,56.59247
134,57.28701
135,57.45482
136,57.59363
137,55.69899
138,56.15106
139,56.33253
140,56.44195
141,56.54121
142,57.15153
143,57.06447
144,57.35141
145,57.40443
146,55.37616
147,55.70449
148,55.08687
149,55.28912
150,55.47506
151,55.45452
152,55.4307
153,55.5898
154,56.43956
155,53.93926
156,53.57209
157,54.0153
158,54.34333
159,54.81179
160,53.1585
161,53.1997
162,53.7202
163,51.9114
164,51.69392
165,52.89768
166,52.67256
167,53.72253
168,53.51002
169,54.44218
170,54.1335
171,53.98486
172,51.16269
173,51.44734
174,51.73684
175,52.42536
176,51.83086
177,52.71581
178,53.20607
179,54.10163
180,51.93821
181,52.12481
182,52.18016
183,53.05943
184,52.31848
185,52.96354
186,53.73772
187,54.24887
188,51.98481
189,52.50105
190,53.215
191,53.30975
192,52.56671
193,52.44262
194,52.88511
195,53.26384
196,51.28343
197,51.90305
198,52.89575
199,51.18944
200,50.04802
201,50.50087
202,48.16968
203,46.61222
204,46.59717
205,47.40312
206,48.37648
207,48.51834
208,49.30839
209,49.89071
210,51.09742
211,49.98309
212,50.53101
213,51.2169
214,51.90306
215,52.53564
216,52.02476
217,49.35497
218,49.57574
219,47.9016
220,48.07277
221,49.04834
222,49.65186
223,50.31783
224,49.80984
225,50.66103
226,50.99599
227,49.64096
228,49.28983
229,50.22911
230,50.49659
231,51.43857
232,51.14457
233,51.65899
234,51.96626
235,51.04189
236,50.46653
237,50.88664
238,51.26804
239,51.65276
240,50.03209
241,50.45392
242,50.82264
243,49.75272
244,49.6545
245,49.99831
246,50.66218
247,50.98973
248,51.37766
249,51.53106
250,51.84537
251,50.2162
252,49.7937
253,50.13314
254,49.50817
255,47.05873
256,45.87814
257,46.47342
258,46.00654
259,46.43212
260,46.27269
261,46.846
262,47.92679
263,48.41602
264,48.86717
265,49.38379
266,48.54073
267,49.36282
268,49.03599
269,49.35721
270,49.46541
271,49.30686
272,48.84561
273,49.22558
274,47.79976
275,48.34518
276,48.70025
277,49.45494
278,49.80979
279,50.55615
280,50.71869
281,51.33376
282,49.23866
283,49.67342
284,49.89141
285,50.71769
286,50.49899
287,50.76606
288,50.8619
289,51.53085
290,49.90245
291,49.75816
292,50.00531
293,50.18987
294,50.35276
295,50.54831
296,50.35067
297,50.05621
298,48.55329
299,47.4965
300,47.654
301,48.15164
302,48.87687
303,49.2332
304,48.74207
305,49.06357
306,47.90087
307,47.95332
308,48.22956
309,48.62923
310,49.39867
311,49.68311
312,49.97667
313,50.2951
314,49.03632
315,49.22945
316,47.8512
317,47.58479
318,48.47017
319,48.98697
320,48.22628
321,48.77284
322,47.50832
323,48.20837
324,48.21517
325,48.40474
326,48.87652
327,49.47953
328,49.40755
329,49.84805
330,48.62606
331,49.08038
332,48.88284
333,49.86298
334,50.18328
335,51.14153
336,51.09146
337,52.04552
338,50.36643
339,50.9838
340,50.9528
341,51.91411
342,52.10532
343,52.88863
344,52.76028
345,50.45687
346,49.4393
347,49.83949
348,49.7452
349,50.57223
350,51.32251
351,52.35283
352,52.22409
353,53.13639
354,53.61923
355,52.55981
356,52.60526
357,53.27231
358,53.4933
359,53.49196
360,53.68935
361,54.20886
362,54.37438
363,54.80187
364,53.10328
365,53.62973
366,54.3554
367,54.63635
368,54.84718
369,55.14883
370,55.8669
371,55.97967
372,55.87021
373,54.05136
374,54.34053
375,54.44864
376,54.53252
377,54.88278
378,55.46159
379,55.40125
380,55.55524
381,55.89005
382,54.16193
383,54.42385
384,53.89421
385,54.16551
386,55.02887
387,55.2282
388,55.27496
389,55.48119
390,56.21334
391,54.21863
392,53.66497
393,54.11687
394,54.41391
395,54.79774
396,54.24233
397,54.55696
398,54.87429
399,53.36833
400,51.40732
401,51.36559
402,51.95314
403,52.87529
404,52.72142
405,53.75043
406,53.62436
407,52.07309
408,51.84362
409,52.85622
410,53.23367
411,54.19868
412,53.80417
413,53.91211
414,54.31731
415,55.32316
416,53.0208
417,53.47042
418,53.98633
419,54.33836
420,54.02962
421,54.49096
422,55.01675
423,55.50559
424,55.25551
425,54.32545
426,54.34676
427,54.26909
428,54.56071
429,52.19924
430,52.07422
431,52.21737
432,52.22065
433,50.99524
434,51.70335
435,52.47637
436,52.76512
437,53.36067
438,54.54623
439,55.1025
440,55.38605
441,55.68624
442,54.62895
443,54.73025
444,55.16895
445,55.48825
446,56.6288
447,56.34881
448,56.54256
449,57.0061
450,57.94839
451,55.40558
452,55.7708
453,56.21212
454,56.55548
455,56.88882
456,56.57327
457,57.11586
458,57.38488
459,57.62375
460,55.49442
461,55.57644
462,55.82269
463,56.88998
464,55.896
465,56.32156
466,56.52773
467,57.01827
468,56.63116
469,54.88751
470,55.53848
471,56.64593
472,56.29807
473,57.33883
474,57.69036
475,58.43273
476,57.91002
477,58.54132
478,56.53935
479,56.50803
480,54.22362
481,54.52193
482,55.07206
483,55.92879
484,55.63852
485,56.82527
486,56.54278
487,55.34352
488,54.88409
489,54.76771
490,55.15576
491,55.72746
492,54.5566
493,55.18615
494,55.70528
495,56.6863
496,54.26015
497,54.57309
498,55.74812
499,56.29565
500,55.92498
501,56.39033
502,56.62789
503,56.44714
504,55.69892
505,53.95474
506,54.54526
507,54.97116
508,55.40022
509,55.82898
510,56.97853
511,57.1293
512,57.25581
513,57.5228
514,56.36995
515,56.84818
516,56.81207
517,57.37089
518,58.42303
519,58.74849
520,58.64217
521,58.89633
522,59.86498
523,59.96656
524,57.6489
525,58.22672
526,58.42346
527,58.96751
528,59.05826
529,59.07851
530,59.99896
531,59.86758
532,59.6948
533,57.68433
534,57.5647
535,57.63722
536,57.26606
537,57.82544
538,57.63452
539,58.14629
540,57.16356
541,57.48956
542,55.67461
543,56.25605
544,55.86061
545,56.90717
546,57.18945
547,58.25982
548,57.58488
549,57.9334
550,58.16229
551,56.28211
552,55.425
553,56.55133
554,56.96563
555,57.94099
556,56.93125
557,58.0653
558,57.81158
559,58.92327
560,54.22557
561,54.82359
562,55.57481
563,56.88998
564,56.29937
565,57.50766
566,57.90958
567,59.05429
568,58.68465
569,56.9923
570,57.20279
571,57.50488
572,57.02679
573,57.22236
574,57.37825
575,58.03957
576,57.14585
577,58.41024
578,56.21993
579,56.73145
580,56.68762
581,57.35937
582,57.95983
583,58.47145
584,58.08747
585,58.68415
586,59.13112
587,57.34237
588,57.21632
589,57.92556
590,59.17876
591,59.66
592,59.76699
593,60.01508
594,61.00703
595,60.80499
596,59.75627
597,57.91903
598,58.41721
599,58.89046
600,59.08464
601,59.49628
602,60.59887
603,60.93491
604,61.07188
605,61.28881
606,61.67908
607,58.35842
608,58.09485
609,58.59025
610,59.68896
611,59.97295
612,59.96258
613,60.15815
614,61.09588
615,61.19309
616,58.58151
617,59.18158
618,59.5989
619,60.07857
620,60.22741
621,60.34391
622,61.33577
623,61.24749
624,60.83613
625,58.90398
626,59.42257
627,59.9127
628,59.38984
629,59.81281
630,60.12751
631,60.48296
632,60.00401
633,60.27448
634,58.2328
635,58.7453
636,58.28863
637,59.49207
638,59.71829
639,60.23371
640,57.65979
641,58.07801
642,58.68752
643,56.86523
644,56.13441
645,57.38593
646,57.37791
647,58.50099
648,57.46781
649,58.64071
650,58.37445
651,58.93588
652,55.91364
653,56.55753
654,56.93046
655,57.98217
656,57.50238
657,58.56922
658,58.90068
659,59.54692

